Date|Symbol|Short Volume|Total Volume|Market Center
20141202|PMF|700|700|Z
20141202|PMFG|200|1200|Z
20141202|PML|1300|1300|Z
20141202|PMM|400|2400|Z
20141202|PMO|200|1200|Z
20141202|PMT|17120|31929|Z
20141202|PMX|400|600|Z
20141202|PNC|75732|97866|Z
20141202|PNCpQ|0|200|Z
20141202|PNF|0|200|Z
20141202|PNFP|1700|4700|Z
20141202|PNI|0|200|Z
20141202|PNK|61271|81927|Z
20141202|PNM|10240|18440|Z
20141202|PNNT|21375|27925|Z
20141202|PNR|41696|151215|Z
20141202|PNRA|8890|14122|Z
20141202|PNW|58369|111285|Z
20141202|PNX|0|200|Z
20141202|PNY|4655|8058|Z
20141202|PODD|17001|26376|Z
20141202|POL|29093|54784|Z
20141202|POM|66888|115831|Z
20141202|POOL|1300|3100|Z
20141202|POR|11924|21191|Z
20141202|POST|24241|37040|Z
20141202|POT|182535|315793|Z
20141202|POWI|3018|4418|Z
20141202|POWL|700|3200|Z
20141202|POWR|8168|10400|Z
20141202|POZN|5564|14101|Z
20141202|PPA|0|300|Z
20141202|PPBI|0|200|Z
20141202|PPC|138815|238971|Z
20141202|PPG|17392|40657|Z
20141202|PPH|3600|3700|Z
20141202|PPHM|9150|26171|Z
20141202|PPL|183388|366593|Z
20141202|PPLT|0|100|Z
20141202|PPO|3900|8203|Z
20141202|PPP|223014|284833|Z
20141202|PPR|4427|9339|Z
20141202|PPS|7723|26261|Z
20141202|PPSI|200|500|Z
20141202|PPT|2500|7866|Z
20141202|PQ|44116|57941|Z
20141202|PRA|4300|7100|Z
20141202|PRAA|6391|9891|Z
20141202|PRAH|722|2822|Z
20141202|PRAN|3100|7300|Z
20141202|PRCP|0|400|Z
20141202|PRE|6959|11809|Z
20141202|PRF|15149|21205|Z
20141202|PRFT|2700|5400|Z
20141202|PRFZ|0|500|Z
20141202|PRGN|1000|1762|Z
20141202|PRGO|29236|54792|Z
20141202|PRGS|9997|27197|Z
20141202|PRGX|200|1900|Z
20141202|PRH|1800|1800|Z
20141202|PRI|5897|9097|Z
20141202|PRIM|4710|13246|Z
20141202|PRK|0|300|Z
20141202|PRKR|2900|10000|Z
20141202|PRLB|2200|3000|Z
20141202|PRMW|300|500|Z
20141202|PRN|0|300|Z
20141202|PRO|1200|1600|Z
20141202|PROV|0|100|Z
20141202|PRQR|400|2300|Z
20141202|PRSC|3687|6887|Z
20141202|PRSS|100|900|Z
20141202|PRTA|1500|7900|Z
20141202|PRTK|300|600|Z
20141202|PRTO|400|500|Z
20141202|PRTS|2700|3428|Z
20141202|PRU|58730|124007|Z
20141202|PRXI|500|600|Z
20141202|PRXL|6100|15730|Z
20141202|PRY|0|600|Z
20141202|PSA|12183|27990|Z
20141202|PSApQ|100|100|Z
20141202|PSApS|300|300|Z
20141202|PSApT|200|300|Z
20141202|PSApU|0|300|Z
20141202|PSApX|0|100|Z
20141202|PSApY|100|300|Z
20141202|PSB|2603|6904|Z
20141202|PSBpT|100|300|Z
20141202|PSBpU|0|200|Z
20141202|PSBpV|190|290|Z
20141202|PSCF|0|931|Z
20141202|PSCI|0|400|Z
20141202|PSCM|0|300|Z
20141202|PSCT|300|300|Z
20141202|PSDV|1100|1600|Z
20141202|PSEC|69921|120117|Z
20141202|PSEM|1900|5960|Z
20141202|PSF|400|500|Z
20141202|PSG|1200|1500|Z
20141202|PSIX|3600|4700|Z
20141202|PSK|0|300|Z
20141202|PSL|1179|1179|Z
20141202|PSLV|169712|334267|Z
20141202|PSMI|3604|17094|Z
20141202|PSMT|7444|11544|Z
20141202|PSO|41745|70322|Z
20141202|PSP|54900|60940|Z
20141202|PSQ|10811|15007|Z
20141202|PST|600|7852|Z
20141202|PSTB|100|2000|Z
20141202|PSTI|1200|2400|Z
20141202|PSUN|4453|6553|Z
20141202|PSX|147510|421896|Z
20141202|PSXP|3800|6100|Z
20141202|PT|1000|4500|Z
20141202|PTC|49802|102273|Z
20141202|PTCT|8989|14066|Z
20141202|PTEN|347827|718411|Z
20141202|PTF|600|1700|Z
20141202|PTH|200|200|Z
20141202|PTIE|3199|5699|Z
20141202|PTLA|3800|8697|Z
20141202|PTN|0|100|Z
20141202|PTNR|800|3821|Z
20141202|PTNT|0|100|Z
20141202|PTP|21809|40990|Z
20141202|PTR|2500|5000|Z
20141202|PTRY|900|2521|Z
20141202|PTSI|1200|2100|Z
20141202|PTX|2352|11195|Z
20141202|PTY|500|700|Z
20141202|PUK|2800|4014|Z
20141202|PUKpA|0|640|Z
20141202|PVA|179558|339720|Z
20141202|PVG|24700|41300|Z
20141202|PVH|17378|34659|Z
20141202|PVTB|15225|29793|Z
20141202|PWE|277387|470022|Z
20141202|PWR|66315|142986|Z
20141202|PWRD|12086|37858|Z
20141202|PWV|1033|1333|Z
20141202|PWZ|400|400|Z
20141202|PX|19883|37717|Z
20141202|PXD|72773|181103|Z
20141202|PXE|1700|1700|Z
20141202|PXF|1000|1500|Z
20141202|PXH|5680|7280|Z
20141202|PXI|300|1150|Z
20141202|PXJ|0|300|Z
20141202|PXLG|0|100|Z
20141202|PXLW|4116|5916|Z
20141202|PXR|0|177|Z
20141202|PXSV|100|100|Z
20141202|PZA|1600|4400|Z
20141202|PZE|2200|3800|Z
20141202|PZG|19800|23000|Z
20141202|PZN|100|1900|Z
20141202|PZZA|7294|9094|Z
20141202|Q|11286|23716|Z
20141202|QAI|15000|15000|Z
20141202|QAT|200|500|Z
20141202|QCOM|978820|1723188|Z
20141202|QDEL|46670|65106|Z
